origLate,gaNum,orig,docID,groupID,primaryName,lang,userID,v11n,origEarly,shelfInstances.shelfInstance.instCountry,shelfInstances.shelfInstance.shelfID,shelfInstances.shelfInstance.originYearDescription,shelfInstances.shelfInstance.instURL,shelfInstances.shelfInstance.instPlace,shelfInstances.shelfInstance.instNameCustom,shelfInstances.shelfInstance.instID,shelfInstances.shelfInstance.leavesDescription,shelfInstances.shelfInstance.formerGANumber,shelfInstances.shelfInstance.shelfNumber,shelfInstances.shelfInstance.instLogoURL,shelfInstances.shelfInstance.instName,shelfInstances.shelfInstance.instGeoLocator,shelfInstances.shelfInstance.contentOverview,shelfInstances
299.0,"P1","III",10001.0,"","P1","g","","",200.0,"USA",1.0,"III","http://www.penn.museum/","Philadelphia, PA","",0.0,"2 Frg (1 Dbl.)","","E 2746","http://ntmss.info/instlogos/penn_logo.png","Penn Museum","39.949477,-75.19178409999999","Mt 1,1-9.12; 1,14-20.23",
599.0,"P2","VI",10002.0,"","P2","g-k","","",500.0,"Italy",2.0,"VI","http://www.firenze-online.com/visitare/informazioni-firenze.php?id=127","Florence","",0.0,"1 Frg","","Inv. Nr. 7134","","Museo Egizio","43.7755184,11.2635052","greek/coptic:  J 12,12-15 (coptic: L 7,22-26.50)",
699.0,"P3","VI/VII",10003.0,"","P3","g","","",500.0,"Austria",3.0,"VI/VII","http://www.onb.ac.at/","Wien","",0.0,"1 Frg","","Pap. G. 2323","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","L 7,36-45; 10,38-42",
299.0,"P4","III",10004.0,"","P4","g","","",200.0,"France",4.0,"III","http://www.bnf.fr/fr/acc/x.accueil.html","Paris","",0.0,"6 Frg (4 Blatt)","","Suppl. Gr. 1120","http://ntmss.info/instlogos/BNF.jpg","Bibliothèque Nationale","","L 1,58-60.62-2,1.6-7; 3,8-4,2.29-32.34-35; 5,3-8.30-6,16",
299.0,"P5","III",10005.0,"","P5",,,,,"United Kingdom",5414.0,"III","http://www.bl.uk/","London","",0.0,"1 Frg (2 Folien)","","Inv. Nr. 782","https://www.bl.uk/britishlibrary/resources/global/images/bl_logo_100.gif","British Library","51.5293496,-0.1275516","J 1,23-31; 1,33-40; 20,11-17.19-20.22-25",
299.0,"P5","III",10005.0,"","P5",,,,,"United Kingdom",5415.0,"III","http://www.bl.uk/","London","",0.0,"1 Frg","","Inv. Nr. 2484","https://www.bl.uk/britishlibrary/resources/global/images/bl_logo_100.gif","British Library","51.5293496,-0.1275516","J 16,14-22; 16,22-30",
299.0,"P5","III",10005.0,"","P5","g","","",200.0,,,,,,,,,,,,,,,
399.0,"P6","IV",10006.0,"","P6","g-k","","",300.0,"France",5.0,"IV","http://www.bnu.fr/bnu/fr","Strasbourg","",0.0,"15 Frg (4 Blatt)","","P. Copt. 379, 381, 382, 384","http://ntmss.info/instlogos/BNUStrasbourg.gif","Bibliothèque nationale universitaire","","greek/coptic: J 10,1-2.4-7.9-10; 11,1-7.45-52; coptic: J 10,1-42; 11,1-44; 11,45-12,20; 13,1-2.11-12; Jc 1,13-5,20",
499.0,"P7","III/IV (?)",10007.0,"","P7","g","","",300.0,"Ukraine",6.0,"III/IV (?)","http://www.nbuv.gov.ua/","Kyiv","",0.0,"1 Frg","","Ф. 301 (КДА) 553п","http://ntmss.info/instlogos/Kiev_Vernadskij2.jpg","Vernadsky National Library ","","L 4,1-3",
399.0,"P8","IV",10008.0,"","P8","g","","",300.0,"Germany",7.0,"IV","","Berlin","",0.0,"2 (1 Dbl.)","","P. 8683","","Staatliche Museen zu Berlin Preußischer Kulturbesitz","","Act 4,31-37; 5,2-9; 6,1-6.8-15",
325.0,"P9","E III - A IV",10009.0,"","P9","g","","",275.0,"USA",8.0,"III","http://hcl.harvard.edu/libraries/houghton/","Cambridge, MA","",0.0,"1 Frg","","MS Gr SM3736","http://ntmss.info/instlogos/harvardCollege2.gif","Houghton Library, Harvard University","","1 J 4,11-12.14-17",
399.0,"P10","IV",10010.0,"","P10","g","","",300.0,"USA",9.0,"IV","http://hcl.harvard.edu/libraries/houghton/","Cambridge, MA","",0.0,"1 Frg","","MS Gr SM2218","http://ntmss.info/instlogos/harvardCollege2.gif","Houghton Library, Harvard University","","R 1,1-7",
599.0,"P11","VI",10011.0,"","P11",,,,,"Russia",10.0,"VI","http://www.nlr.ru/","St. Petersburg","",0.0,"17 Frg","","Ф. № 906 /Gr. 258","http://ntmss.info/instlogos/RussNationalBib2.jpg","National Library of Russia","","1 K 1,17-22; 2,9-12.14; 3,1-3.5-6; 4,3-5,5.7-8; 6,5-7.11-18; 7,3-6.10-14",
599.0,"P11","VI",10011.0,"","P11",,,,,"Egypt",5976.0,"","http://www.sinaimonastery.com/","Sinai","",0.0,"7 Frg (4 Bl.)","P14","Harris 14","http://ntmss.info/instlogos/Katharinenkloster.jpg","Saint Catherine's Monastery","","1 K 1,25-27; 2,6-8; 3,8-10.20",
599.0,"P11","VI",10011.0,"","P11","g","","",500.0,,,,,,,,,,,,,,,
299.0,"P12","E III",10012.0,"","P12","g","","",275.0,"USA",11.0,"III (E)","http://www.themorgan.org/home.asp","New York, NY","",0.0,"1 Frg","","Amh. Gr. Pap. 3","","Morgan Library & Museum","","H 1,1",
399.0,"P13","III/IV",10013.0,"","P13",,,,,"United Kingdom",5416.0,"III/IV","http://www.bl.uk/","London","",0.0,"1 Frg","","Inv. Nr. 1532v","https://www.bl.uk/britishlibrary/resources/global/images/bl_logo_100.gif","British Library","51.5293496,-0.1275516","c",
399.0,"P13","III/IV",10013.0,"","P13",,,,,"Egypt",5417.0,"III/IV","","Cairo","",0.0,"1 Frg","","PSI 1292","","The Egyptian Museum","","",
399.0,"P13","III/IV",10013.0,"","P13","g","","",200.0,,,,,,,,,,,,,,,
0.0,"P14","",10014.0,"","P14","grc","","",0.0,,,,,,,,,,,,,,,""
399.0,"P15","IV",10015.0,"","P15","g","","",300.0,"Egypt",6607.0,"III","http://antiquities.bibalex.org/collection/MuseumDatabase.aspx","Alexandria","",0.0,1.0,"","BAAM 0543","","Bibliotheca Alexandrina Antiquities Museum","","1 K 7,18-32; 7,33-8,4",
399.0,"P16","IV",10016.0,"","P16","g","","",200.0,"Egypt",6608.0,"III/IV","http://antiquities.bibalex.org/collection/MuseumDatabase.aspx","Alexandria","",0.0,"1 Frg","","BAAM 0544","","Bibliotheca Alexandrina Antiquities Museum","","Ph 3,10-17; 4,2-8",
399.0,"P17","IV",10017.0,"","P17","g","","",300.0,"United Kingdom",15.0,"IV","http://www.lib.cam.ac.uk/","Cambridge","",0.0,"1 Frg","","Ms. Add.  5893","http://ntmss.info/instlogos/cambridge2.jpg","Cambridge University Library","52.2051088,0.1077233","H 9,12-14; 9,15-19",
399.0,"P18","III/IV",10018.0,"","P18","g","","",200.0,"United Kingdom",16.0,"III/IV","http://www.bl.uk/","London","",0.0,"1 Frg","","Inv. Nr. 2053v","https://www.bl.uk/britishlibrary/resources/global/images/bl_logo_100.gif","British Library","51.5293496,-0.1275516","Ap 1,4-7",
499.0,"P19","IV/V",10019.0,"","P19","g","","",300.0,"United Kingdom",17.0,"IV/V","http://www.bodleian.ox.ac.uk/","Oxford","",0.0,"1 Frg","","Ms. Gr. bib. d. 6 (P)","https://iiif.bodleian.ox.ac.uk/iiif/image/f27e28db-0b08-4f16-9bdf-3565f591fb71/full/255,/0/default.jpg","Bodleian Library","","Mt 10,32-40; 10,41-11,5",
