abbreviations,spelled_out,manuscript,code_verse,byz_verse_text
αθν,ανθρωπων,,,
αν,ανθρωπον,,,
αναστρες,ανασταυρουντας,,,
ανε,ανθρωπε,,,
ανθος,ανθρωπος,,,
ανθρος,ανθρωπος,,,
ανθων,αφησουσιν,,,
ανινων,ανθρωπων,,,
ανιος,ανθρωποις,,,
ανν,ανθρωπων,,,
αννων,ανθρωπων,,,
ανοι,ανθρωποι,,,
ανοις,ανθρωποις,,,
ανον,ανθρωπον,,,
ανοποι,ανθρωποι,,,
ανος,ανθρωπος,,,
ανου,ανθρωπου,,,
ανουν,αφωνον,,,
ανους,ανθρωπους,,,
ανπος,ανθρωπος,,,
ανρ,ανηρ,,,
ανρων,ανθρωπων,,,
ανς,ανθρωπος,,,
αντιπριδα,αντιπατριδα,,,
αντν,ανθρωπων,,,
ανω,ανθρωπω,,,
ανων,ανθρωπων,,,
ανως,ανθρωπος,,,
βλεεμ,βηθλεεμ,,,
δαδ,δαυιδ,,,
δαιδ,δαυιδ,,,
δαυδ,δαυιδ,,,
δδ,δαυιδ,,,
δυμι,δυναμει,,,
επουνια,επουρανια,,,
επουνιος,επουρανιος,,,
επουνιως,επουρανιος,,,
εσρωθη,εσταυρωθη,,,
εσρωσαν,εσταυρωσαν,,,
εσταν,εσταυρωσαν,,,
εσταρωσατε,εσταυρωσατε,,,
εστραι,εσταυρωται,,,
εστραν,εσταυρωσαν,,,
εστρη,εσταυρωθη,,,
εστρθη,εσταυρωθη,,,
εστρννυον,εστρωννυον,,,
εστρομενον,εσταυρωμενον,,,
εστρωθη,εσταυρωθη,,,
εστρωμενον,εσταυρωμενον,,,
εστρωμενον,εσταυρωμενον,,,
εστρωμενων,εσταυρωμενον,,,
εστρωσαν,εσταυρωσαν,,,
εστρωσατε,εσταυρωσατε,,,
θε,θεε,,,
θθυ,θεου,,,
θν,θεον,,,
θος,θεος,,,
θς,θεος,,,
θυ,θεου,,,
θω,θεω,,,
θωμαχοι,θεομαχοι,,,
ιελ,ισραηλ,,,
ιελημ,ιερουσαλημ,,,
ιελιμ,ιερουσαλημ,,,
ιελυμα,ιεροσολυμα,,,
ιηλ,ισραηλ,,,
ιηλιται,ισραηλιται,,,
ιηλιται,ισραηλιται,,,
ιηλμ,ιερουσαλημ,,,
ιην,ιησουν,,,
ιηου,ιησου,,,
ιης,ιησους,,,
ιησυ,ιησου,,,
ιηυ,ιησου,,,
ιηφ,ιωσηφ,,,
ιιης,ιησους,,,
ιλ,ισραηλ,,,
ιλημ,ιερουσαλημ,,,
ιλην,ιωαννην,,,
ιλιται,ισραηλιται,,,
ιλμ,ιερουσαλημ,,,
ιλυμοις,ιεροσολυμοις,,,
ιλυμων,ιεροσολυμων,,,
ιν,ιησουν,,,
ις,ιησους,,,
ισηλ,ισραηλ,,,
ισλ,ισραηλ,,,
ισρλ,ισραηλ,,,
ιυ,ιησου,,,
ιυν,ιησουν,,,
ιωαν,ιωαννην,,,
ιωη,ιωαννη,,,
ιωην,ιωαννην,,,
ιωηου,ιωαννου,,,
ιωης,ιωαννης,,,
ιωνη,ιωαννη,,,
ιωνης,ιωαννης,,,
ιωννην,ιωαννην,,,
ιωννου,ιωαννου,,,
ιωνου,ιωαννου,,,
ιωου,ιωαννου,,,
ιως,ιωαννης,,,
κε,κυριε,,,
κμου,κοσμου,,,
κν,κυριον,,,
κς,κυριος,,,
κυ,κυριου,,,
κυου,κυριου,,,
κω,κυριω,,,
κων,κυριων,,,
κως,κυριος,,,
μεσουνηματι,μεσουρανηματι,,,
μεσουνι,μεσουρανηματι,,,
μεσουνισματι,μεσουρανηματι,,,
μηρ,μητηρ,,,
μηρας,μητερας,,,
μρoς,μητρος,,,
μρα,μητερα,,,
μρας,μητερας,,,
μρι,μητρι,,,
μρος,μητρος,,,
μρς,μητρος,,,
μρτος,μητρος,,,
οαυνον,ουρανον,,,
ονου,ουρανου,,,
οουνοις,ουρανοις,,,
ουν,ουρανον,,,
ουναν,ουρανων,,,
ουνε,ουρανε,,,
ουνηος,ουρανιος,,,
ουνιοις,ουρανοις,,,
ουνιος,ουρανιος,,,
ουνιου,ουρανιου,,,
ουνις,ουρανοις,,,
ουνιω,ουρανιω,,,
ουνιως,ουρανιος,,,
ουνοθεν,ουρανοθεν,,,
ουνοθεν,ουρανοθεν,,,
