nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
ααιτοι,αετοι,"nonstandard αι, standard ε",,,
αβααδων,αββαδων,removal of double β,,,
αβεια,αβια,"nonstandard ει, standard ι",,,
αβειληνης,αβιληνης,"nonstandard ει, standard ι",,,
αβιλινης,αβιληνης,η and ι,,,
αγαγεται,αγαγετε,"nonstandard αι, standard ε",,,
αγαγιν,αγαγειν,"nonstandard ι, standard ει",,,
αγαγωντες,αγαγοντες,ο and ω,,,
αγαθαι,αγαθε,"nonstandard αι, standard ε",,,
αγαθοποιειται,αγαθοποιειτε,"nonstandard αι, standard ε",,,
αγαθοπωιων,αγαθοποιων,ο and ω,,,
αγαθων,αγαθον,ο and ω,,,
αγαθωποιησαι,αγαθοποιησαι,ο and ω,,,
αγαθωποιουντας,αγαθοποιουντας,ο and ω,,,
αγαθως,αγαθος,ο and ω,,,
αγαλλειασθε,αγαλλιασθε,"nonstandard ει, standard ι",,,
αγαλλειωμενοι,αγαλλιωμενοι,"nonstandard ει, standard ι",,,
αγαλλιασεις,αγαλλιασις,"nonstandard ει, standard ι",,,
αγαλλιασθαι,αγαλλιασθε,"nonstandard αι, standard ε",,,
αγαλλιασι,αγαλλιασει,"standard ει, nonstandard ι",,,
αγαλλιωμεν,αγαλλιομεν,ο and ω,,,
αγανακτιν,αγανακτειν,"nonstandard ι, standard ει",,,
αγανακτωυντες,αγανακτουντες,ο and ω,,,
αγαπαται,αγαπατε,"nonstandard αι, standard ε",,,
αγαπησηται,αγαπησητε,"nonstandard αι, standard ε",,,
αγαπησι,αγαπησει,"nonstandard ι, standard ει",,,
αγαπησις,αγαπησεις,"nonstandard ι, standard ει",,,
αγαπητων,αγαπητον,ο and ω,,,
αγαπισει,αγαπησει,η and ι,,,
αγαπισεις,αγαπησεις,η and ι,,,
αγαπιτον,αγαπητον,η and ι,,,
αγαπιτος,αγαπητος,η and ι,,,
αγαπωντας,αγαποντας,ο and ω,,,
αγγελεια,αγγελια,"nonstandard ει, standard ι",,,
αγγελλοι,αγγελοι,λ gemination,,,
αγγελλον,αγγελον,λ gemination,,,
αγγελλους,αγγελους,λ gemination,,,
αγγελλω,αγγελω,λ gemination,,,
αγγελων,αγγελον,ο and ω,,,
αγγια,αγγεια,"nonstandard ι, standard ει",,,
αγγιοις,αγγειοις,"standard ει, nonstandard ι",,,
αγειαι,αγιαι,"nonstandard ει, standard ι",,,
αγειαις,αγιαις,"nonstandard ει, standard ι",,,
αγειασατε,αγιασατε,"nonstandard ει, standard ι",,,
αγειοι,αγιοι,"nonstandard ει, standard ι",,,
αγειος,αγιος,"nonstandard ει, standard ι",,,
αγειω,αγιω,"nonstandard ει, standard ι",,,
αγειων,αγιων,"nonstandard ει, standard ι",,,
αγελι,αγελη,η and ι,,,
αγελλην,αγελην,λ gemination,,,
αγι,αγει,"nonstandard ι, standard ει",,,
αγιαζων,αγιαζον,ο and ω,,,
αγνειας,αγνοιας,"standard ι, nonstandard ει",,,
αγνεισθεις,αγνισθεις,"standard ι, nonstandard ει",,,
αγνεισθητι,αγνισθητι,"nonstandard ει, standard ι",,,
αγνια,αγνεια,"nonstandard ι, standard ει",,,
αγνιζι,αγνιζει,"standard ει, nonstandard ι",,,
αγνοειται,αγνοειτε,"nonstandard αι, standard ε",,,
